Can bus setup done...
Succeful to send start motor command
Succeful to send start motor command
Succeful to send start motor command
16.00 13.33 -0.38 0.63 -1.13 1.97
16.00 13.33 -0.38 0.63 -1.25 1.89
16.00 13.33 -0.38 0.63 -1.11 1.86
16.00 13.33 -0.38 0.63 -1.39 1.81
16.00 13.33 -0.38 0.63 -1.20 1.75
16.00 13.33 -0.38 0.63 -1.16 1.81
16.00 13.33 -0.38 0.63 -1.20 1.83
16.00 13.33 -0.38 0.63 -1.17 1.81
16.00 13.33 -0.38 0.63 -1.42 1.80
16.00 13.33 -0.38 0.63 -1.34 1.78
16.00 13.33 -0.38 0.63 -1.16 1.77
16.00 13.33 -0.38 0.63 -1.22 1.83
16.00 13.33 -0.38 0.63 -1.41 1.72
16.00 13.33 -0.38 0.63 -1.31 1.72
16.00 13.33 -0.38 0.63 -1.05 1.78
16.00 13.33 -0.38 0.63 -1.17 1.75
16.00 13.33 -0.38 0.63 -1.34 1.75
16.00 13.33 -0.38 0.63 -1.41 1.77
16.00 13.33 -0.38 0.63 -1.31 1.81
16.00 13.33 -0.38 0.63 -1.33 1.83
16.00 13.33 -0.38 0.63 -1.31 1.78
16.00 13.33 -0.38 0.63 -1.25 1.75
16.00 13.33 -0.38 0.63 -1.28 1.80
16.00 13.33 -0.38 0.63 -1.33 1.80
16.00 13.33 -0.38 0.63 -1.28 1.72
16.00 13.33 -0.38 0.63 -1.27 1.75
16.00 13.33 -0.38 0.63 -1.34 1.77
16.00 13.33 -0.38 0.63 -1.25 1.83
16.00 13.33 -0.38 0.63 -1.36 1.78
16.00 13.33 -0.38 0.63 -1.23 1.83
16.00 13.33 -0.38 0.63 -1.00 1.94
16.00 13.33 -0.38 0.63 -1.17 1.95
16.00 13.33 -0.38 0.63 -1.09 1.88
16.00 13.33 -0.38 0.63 -1.28 1.91
16.00 13.33 -0.38 0.63 -1.34 1.80
16.00 13.33 -0.38 0.63 -1.13 1.81
16.00 13.33 -0.38 0.63 -1.16 1.67
16.00 13.33 -0.38 0.63 -1.03 1.77
16.00 13.33 -0.38 0.63 -1.14 1.92
16.00 13.33 -0.38 0.63 -1.23 1.83
16.00 13.33 -0.38 0.63 -0.89 1.86
16.00 13.33 -0.38 0.63 -0.97 1.91
